time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),shortwave_radiation_sum (MJ/m²),weather_code (wmo code),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),dew_point_2m_mean (°C),cloud_cover_mean (%),wind_speed_10m_mean (km/h),surface_pressure_mean (hPa),et0_fao_evapotranspiration_sum (mm),soil_temperature_0_to_7cm_mean (°C),soil_moisture_0_to_10cm_mean (undefined)
1/1/2013,24.7,30.5,20.8,35383.75,13.64,61,27.8,78,20.3,26,6.2,975.5,2.98,25.8,NaN
1/2/2013,24.1,29.4,18.1,35423.55,13.53,2,26.7,74,19,18,6.2,976.3,3.03,25.4,NaN
1/3/2013,21.3,27.6,15.6,35615.22,17.2,0,20.9,57,11.9,0,7.8,978.1,3.79,23.6,NaN
1/4/2013,20.8,27.3,14.7,35729.32,17.47,0,20.6,56,11.4,0,6,976.8,3.62,23,NaN
1/5/2013,21.5,27.7,15.5,35696.16,15.66,0,21.4,57,12.3,6,6.8,974.7,3.52,23.3,NaN
1/6/2013,20.5,26.5,14.8,35736.7,17.13,0,19.5,51,9.8,1,8.3,976.5,3.98,22.8,NaN
1/7/2013,18.9,25,13.2,35777.16,16.39,1,16.7,42,5.5,10,8.6,978.6,4.06,21.5,NaN
1/8/2013,17.9,24.9,12.2,35817.47,18.11,0,15.1,35,1.8,0,7.8,979.8,4.2,20.5,NaN
1/9/2013,17.8,25.7,11.3,35927.55,18.45,0,15.4,41,3.3,0,7.2,979.1,4.04,20.1,NaN
1/10/2013,18.4,26.2,10.5,35897.38,18.39,0,16.6,46,5.4,0,5.6,978.5,3.69,20.2,NaN
1/11/2013,19,26.9,11.5,35937.78,18.41,0,17.6,50,7.3,0,6.2,979.4,3.74,20.7,NaN
1/12/2013,19.6,27.6,11.1,35978.8,18.29,0,18.6,53,8.7,0,5.7,979.6,3.75,21.5,NaN
1/13/2013,21.5,30,12.7,36020.37,18.32,0,20.8,52,10,0,6.4,977.4,4.03,22.9,NaN
1/14/2013,22.2,30.3,13.8,36062.39,18.34,0,21.7,51,10.4,0,6,977,4.13,23.8,NaN
1/15/2013,23,30.6,14.7,36104.8,18.31,3,23,52,11.8,24,5.6,978.1,4.14,24,NaN
1/16/2013,23.4,30.4,16.3,36009.88,17.46,3,23.5,54,12.7,96,6.6,978.9,4.08,24.1,NaN
1/17/2013,23.9,30.3,15.9,36000,16.84,3,24,57,14.3,17,9.5,978.9,4.3,24.8,NaN
1/18/2013,23.3,29.5,18.4,36148.36,18.36,1,22.7,51,12.1,3,10.3,978.9,4.69,24.9,NaN
1/19/2013,21.7,27.3,16.2,36078.62,18.3,1,20.7,50,10.5,2,9.1,980.5,4.37,24.2,NaN
1/20/2013,19.9,25.7,15,36147.92,18.71,1,18.3,47,7.9,2,8.9,980.3,4.3,22.9,NaN
1/21/2013,19.6,25.7,14.3,36147.66,18.09,0,17.8,42,6.3,2,7.7,981.3,4.17,22.4,NaN
1/22/2013,20.5,26.7,14.2,36147.38,18.7,0,18.9,44,7.3,3,7.8,981,4.32,22.8,NaN
1/23/2013,20.9,26.3,15.9,36075.52,14.52,2,19.6,48,9.1,30,7.6,980.8,3.65,23,NaN
1/24/2013,19.2,24,15.9,33698.48,12.76,51,18.3,64,11.8,39,9.8,981,3.01,21.6,NaN
1/25/2013,20.2,25.1,15.4,36000.26,13.97,3,20.2,62,12.5,31,5.4,980.9,2.88,22.2,NaN
